FRA	= "countries/France.txt"
CHG  = "countries/Liangguang.txt"
CGE  = "countries/Guangdong.txt"
CGW  = "countries/Guangxi.txt"
CHS  = "countries/Xibei.txt"
CSS  = "countries/Shannxi.txt"
CSG  = "countries/Gansu.txt"
CSJ  = "countries/Shanxi.txt"
CSY  = "countries/Guisui.txt"
CHB  = "countries/Huabei.txt"
CBS  = "countries/Shandong.txt"
CBZ  = "countries/Zhili.txt"
CBH  = "countries/Henan.txt"
CHW  = "countries/Dongnan.txt"
CWA  = "countries/Anhui.txt"
CWJ  = "countries/Jiangsu.txt"
CWZ  = "countries/Zhejiang.txt"
CWF  = "countries/Fujian.txt"
CHM  = "countries/Dongbei.txt"
CML  = "countries/Fengtian.txt"
CMJ  = "countries/Jilin.txt"
CMH  = "countries/Heilongjiang.txt"
CMC  = "countries/Chahaer.txt"
CHC  = "countries/Sichuan.txt"
CCC  = "countries/Chongqing.txt"
CCN  = "countries/Chuanbei.txt"
CCW  = "countries/Chuanxi.txt"
CCE  = "countries/Chuandong.txt"
CHN  = "countries/Huanan.txt"
CNB  = "countries/Hubei.txt"
CNS  = "countries/Hunan.txt"
CNJ  = "countries/Jiangxi.txt"
AFK  = "countries/Afghanistan.txt"
IND  = "countries/India.txt"
HID  = "countries/Hindustan.txt"
BAN  = "countries/Bengal.txt"
ASM  = "countries/Assum.txt"
LJS  = "countries/Rajasthan.txt"
GOC  = "countries/Gujarat.txt"
MRP  = "countries/Malava.txt"
ORS  = "countries/Ollisa.txt"
ADR  = "countries/Andhra.txt"
MRD  = "countries/Marathi.txt"
MSR  = "countries/Mysore.txt"
TMR  = "countries/Tamil.txt"
KRR  = "countries/Kerala.txt"
PAK = "countries/Pakistan.txt"
PUN = "countries/Punjab.txt"
BAL = "countries/Baluchistan.txt"
SIN = "countries/Sindh.txt"
HYD = "countries/Hyderabad.txt"
BIH = "countries/Bihar.txt"
IRA  = "countries/Iran.txt"
ASS  = "countries/Assyria.txt"
AME  = "countries/Armenia.txt"
TUR  = "countries/Turkey.txt"
TRA  = "countries/Trabison.txt"
IRQ  = "countries/Iraq.txt"
LEV  = "countries/Levant.txt"
SYR  = "countries/Syria.txt"
LBN  = "countries/Lebanon.txt"
PLS  = "countries/Palestine.txt"
JOR  = "countries/Jordan.txt"
ARB  = "countries/Arab.txt"
YEM  = "countries/Yemen.txt"
AMM  = "countries/Oman.txt"
NNG  = "countries/Najd.txt"
HNG  = "countries/Hejaz.txt"
MYA  = "countries/Myanmar.txt"
SHN  = "countries/lana.txt"
SYY  = "countries/Siam.txt"
MWA  = "countries/Bago.txt"
CAM  = "countries/Cambodia.txt"
LAO  = "countries/Laos.txt"
INO  = "countries/Indonesia.txt"
LNF  = "countries/Lanfang.txt"
WEN  = "countries/Brunei.txt"
PHL  = "countries/Philippine.txt"
MAL  = "countries/Malaya.txt"
MOC  = "countries/Morocco.txt"
EGY  = "countries/Egypt.txt"
SUD  = "countries/Sudan.txt"
SSU  = "countries/South_Sudan.txt"
LBY  = "countries/Libya.txt"
PGN  = "countries/Portuguese-Guinea.txt"
WAF  = "countries/West_Africa.txt"
EWA  = "countries/British-West_Africa.txt"
ETH  = "countries/Ethiopia.txt"
ERI  = "countries/Eritrea.txt"
CGN  = "countries/Congo.txt"
MAF  = "countries/Central_African.txt"
AGR  = "countries/Angola.txt"
SWA  = "countries/Swahili.txt"
BUL  = "countries/Boer.txt"
ESA  = "countries/British-South_Africa.txt"
EMA  = "countries/British-Central_Africa.txt"
GFA  = "countries/German-African.txt"
FCA  = "countries/France-African.txt"
ISL  = "countries/Israel.txt"
MGS  = "countries/Madagascar.txt"
USA  = "countries/United_States_of_America.txt"
NFR  = "countries/New_France.txt"
CAL  = "countries/California.txt"
TEX  = "countries/Texas.txt"
NEN  = "countries/New_England.txt"
CSA  = "countries/Confederate_States_of_America.txt"
FSA  = "countries/Free_States_of_America .txt"
UWA  = "countries/United_Corps_of_America.txt"
CAN  = "countries/Canada.txt"
KBK  = "countries/Quebec.txt"
MEX  = "countries/Mexico.txt"
YCK  = "countries/Yucatan.txt"
UCA  = "countries/Central_American_Confederacy.txt"
SAW  = "countries/Salvador.txt"
KDI  = "countries/Guatemala.txt"
BLZ  = "countries/Belize.txt"
GOS  = "countries/Costarica.txt"
PNM  = "countries/Panama.txt"
HOD  = "countries/Honduras.txt"
NCA  = "countries/Nigaragua.txt"
CLO  = "countries/Columbia.txt"
VEA  = "countries/Ventrilla.txt"
ECU  = "countries/Ecuador.txt"
BRZ  = "countries/Brazil.txt"
PEU  = "countries/Peru.txt"
BVO  = "countries/Bolivia.txt"
CHL  = "countries/Chile.txt"
ARG  = "countries/Argentina.txt"
PLG  = "countries/Paraguay.txt"
ULG  = "countries/Uruguay.txt"
GUP  = "countries/Spain-Cuba.txt"
HAI  = "countries/Haiti.txt"
DOM  = "countries/Dominican.txt"
WIE  = "countries/West_India.txt"
GUI  = "countries/Guyana.txt"
AUT  = "countries/Australia.txt"
NZL  = "countries/New_Zealand.txt"
PLI  = "countries/Polynesia.txt"
HAW  = "countries/Hawaii.txt"



